  edge_min  pair_min  balls  edges  path
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_04_1b3933ec22.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_05_05894248e7.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_06_281de9b856.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_07_b193f93889.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_08_62b1504db7.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_09_d7d03f785d.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_10_fd1373d44b.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_11_b8928db2e2.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_12_2bfdf4b6ef.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_13_0a7dae4901.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_14_a56086e064.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_15_0ecfe79e5e.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_16_a2398d5d4a.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_17_3a7b00ed31.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_18_20e75f4939.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_19_87ba4b3994.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_20_81f39e3a23.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_21_94f5c9c278.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_22_3ff4ffcf2a.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_23_013cba0769.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_24_8609c8d358.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_25_6c686781c2.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_26_af091d409b.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_27_6dad26f8ce.vZome
