skipping 8 polytopes already in log
=== prismatic sweep rng=4  (196 polytopes) ===
  generating kernels at rng=4 (permute_dedup=False)...
  21523360 kernel directions (68.04s)
[14:30:09] [118/196  60.2% elapsed=17464s ETA=11544s] duoprism_10_12 ok emit=0 snap_fail=249
[14:30:17] [119/196  60.7% elapsed=17472s ETA=11305s] duoprism_9_14 zero_hits emit=0 snap_fail=0
[14:35:21] [120/196  61.2% elapsed=17776s ETA=11258s] duoprism_8_16 ok emit=0 snap_fail=223
[14:43:32] [121/196  61.7% elapsed=18267s ETA=11322s] duoprism_11_12 zero_hits emit=0 snap_fail=0
[14:43:52] [122/196  62.2% elapsed=18287s ETA=11092s] duoprism_10_13 ok emit=0 snap_fail=492
[14:46:16] [123/196  62.8% elapsed=18431s ETA=10938s] duoprism_7_19 zero_hits emit=0 snap_fail=0
[14:46:39] [124/196  63.3% elapsed=18454s ETA=10715s] duoprism_9_15 zero_hits emit=0 snap_fail=0
[14:47:04] [125/196  63.8% elapsed=18478s ETA=10496s] duoprism_7_20 zero_hits emit=0 snap_fail=0
[14:47:50] [126/196  64.3% elapsed=18524s ETA=10291s] duoprism_8_17 ok emit=0 snap_fail=498
[14:49:29] [127/196  64.8% elapsed=18623s ETA=10118s] snub_dodecahedron_prism zero_hits emit=0 snap_fail=0
[14:55:30] [128/196  65.3% elapsed=18984s ETA=10085s] duoprism_10_14 ok emit=0 snap_fail=500
[14:59:56] [129/196  65.8% elapsed=19251s ETA=9998s] duoprism_8_18 ok emit=0 snap_fail=500
[15:01:21] [130/196  66.3% elapsed=19335s ETA=9816s] duoprism_11_13 zero_hits emit=0 snap_fail=0
[15:02:13] [131/196  66.8% elapsed=19388s ETA=9620s] duoprism_12_12 zero_hits emit=0 snap_fail=0
[15:03:06] [132/196  67.3% elapsed=19441s ETA=9426s] duoprism_9_16 zero_hits emit=0 snap_fail=0
[15:05:22] [133/196  67.9% elapsed=19577s ETA=9273s] duoprism_8_19 ok emit=0 snap_fail=503
[15:06:56] [134/196  68.4% elapsed=19670s ETA=9101s] duoprism_9_17 zero_hits emit=0 snap_fail=0
[15:08:09] [135/196  68.9% elapsed=19744s ETA=8921s] duoprism_10_15 ok emit=0 snap_fail=501
[15:11:44] [136/196  69.4% elapsed=19958s ETA=8805s] duoprism_11_14 zero_hits emit=0 snap_fail=0
[15:16:15] [137/196  69.9% elapsed=20230s ETA=8712s] duoprism_12_13 zero_hits emit=0 snap_fail=0
[15:16:54] [138/196  70.4% elapsed=20269s ETA=8519s] duoprism_8_20 ok emit=0 snap_fail=260
[15:19:45] [139/196  70.9% elapsed=20439s ETA=8382s] duoprism_9_18 zero_hits emit=0 snap_fail=0
[15:21:47] [140/196  71.4% elapsed=20561s ETA=8224s] duoprism_10_16 ok emit=0 snap_fail=223
[15:22:15] [141/196  71.9% elapsed=20590s ETA=8032s] duoprism_12_14 zero_hits emit=0 snap_fail=0
[15:23:05] [142/196  72.4% elapsed=20640s ETA=7849s] duoprism_11_15 zero_hits emit=0 snap_fail=0
[15:25:42] [143/196  73.0% elapsed=20796s ETA=7708s] duoprism_13_13 zero_hits emit=0 snap_fail=0
[15:33:27] [144/196  73.5% elapsed=21262s ETA=7678s] duoprism_10_17 ok emit=0 snap_fail=498
[15:33:39] [145/196  74.0% elapsed=21273s ETA=7482s] duoprism_11_16 zero_hits emit=0 snap_fail=0
[15:34:40] [146/196  74.5% elapsed=21334s ETA=7306s] duoprism_9_19 zero_hits emit=0 snap_fail=0
[15:36:41] [147/196  75.0% elapsed=21456s ETA=7152s] duoprism_9_20 zero_hits emit=0 snap_fail=0
[15:39:03] [148/196  75.5% elapsed=21598s ETA=7005s] duoprism_12_15 zero_hits emit=0 snap_fail=0
[15:39:41] [149/196  76.0% elapsed=21635s ETA=6825s] duoprism_13_14 zero_hits emit=0 snap_fail=0
[15:41:47] [150/196  76.5% elapsed=21762s ETA=6674s] duoprism_10_18 ok emit=0 snap_fail=498
[15:43:24] [151/196  77.0% elapsed=21859s ETA=6514s] duoprism_11_17 zero_hits emit=0 snap_fail=0
[15:49:16] [152/196  77.6% elapsed=22211s ETA=6429s] duoprism_12_16 zero_hits emit=0 snap_fail=0
[15:52:50] [153/196  78.1% elapsed=22425s ETA=6302s] duoprism_14_14 zero_hits emit=0 snap_fail=0
[15:52:55] [154/196  78.6% elapsed=22429s ETA=6117s] duoprism_13_15 zero_hits emit=0 snap_fail=0
[15:55:38] [155/196  79.1% elapsed=22593s ETA=5976s] duoprism_10_19 ok emit=0 snap_fail=505
[15:56:14] [156/196  79.6% elapsed=22628s ETA=5802s] duoprism_11_18 zero_hits emit=0 snap_fail=0
[15:59:59] [157/196  80.1% elapsed=22853s ETA=5677s] duoprism_12_17 zero_hits emit=0 snap_fail=0
[16:00:02] [158/196  80.6% elapsed=22857s ETA=5497s] duoprism_10_20 ok emit=0 snap_fail=261
[16:01:22] [159/196  81.1% elapsed=22937s ETA=5338s] duoprism_13_16 zero_hits emit=0 snap_fail=0
[16:08:00] [160/196  81.6% elapsed=23335s ETA=5250s] duoprism_11_19 zero_hits emit=0 snap_fail=0
[16:08:59] [161/196  82.1% elapsed=23394s ETA=5086s] duoprism_12_18 zero_hits emit=0 snap_fail=0
[16:10:09] [162/196  82.7% elapsed=23463s ETA=4924s] duoprism_14_15 zero_hits emit=0 snap_fail=0
[16:12:19] [163/196  83.2% elapsed=23594s ETA=4777s] duoprism_11_20 zero_hits emit=0 snap_fail=0
[16:14:00] [164/196  83.7% elapsed=23695s ETA=4623s] duoprism_13_17 zero_hits emit=0 snap_fail=0
[16:15:50] [165/196  84.2% elapsed=23805s ETA=4472s] duoprism_14_16 zero_hits emit=0 snap_fail=0
[16:18:18] [166/196  84.7% elapsed=23952s ETA=4329s] duoprism_15_15 zero_hits emit=0 snap_fail=0
[16:18:57] [167/196  85.2% elapsed=23992s ETA=4166s] duoprism_12_19 zero_hits emit=0 snap_fail=0
[16:25:12] [168/196  85.7% elapsed=24367s ETA=4061s] duoprism_13_18 zero_hits emit=0 snap_fail=0
[16:26:29] [169/196  86.2% elapsed=24444s ETA=3905s] duoprism_14_17 zero_hits emit=0 snap_fail=0
[16:26:55] [170/196  86.7% elapsed=24470s ETA=3742s] truncated_icosidodecahedron_prism ok emit=7 snap_fail=0
[16:28:37] [171/196  87.2% elapsed=24572s ETA=3592s] duoprism_12_20 zero_hits emit=0 snap_fail=0
[16:31:33] [172/196  87.8% elapsed=24748s ETA=3453s] duoprism_15_16 zero_hits emit=0 snap_fail=0
[16:35:20] [173/196  88.3% elapsed=24975s ETA=3320s] duoprism_14_18 zero_hits emit=0 snap_fail=0
[16:35:26] [174/196  88.8% elapsed=24981s ETA=3158s] duoprism_13_19 zero_hits emit=0 snap_fail=0
[16:38:36] [175/196  89.3% elapsed=25171s ETA=3021s] duoprism_15_17 zero_hits emit=0 snap_fail=0
[16:42:19] [176/196  89.8% elapsed=25393s ETA=2886s] duoprism_16_16 zero_hits emit=0 snap_fail=0
[16:44:51] [177/196  90.3% elapsed=25546s ETA=2742s] duoprism_13_20 zero_hits emit=0 snap_fail=0
[16:45:59] [178/196  90.8% elapsed=25613s ETA=2590s] duoprism_14_19 zero_hits emit=0 snap_fail=0
[16:46:56] [179/196  91.3% elapsed=25671s ETA=2438s] duoprism_15_18 zero_hits emit=0 snap_fail=0
[16:49:25] [180/196  91.8% elapsed=25819s ETA=2295s] duoprism_16_17 zero_hits emit=0 snap_fail=0
[16:51:40] [181/196  92.3% elapsed=25954s ETA=2151s] duoprism_14_20 zero_hits emit=0 snap_fail=0
[16:54:39] [182/196  92.9% elapsed=26134s ETA=2010s] duoprism_15_19 zero_hits emit=0 snap_fail=0
[16:54:50] [183/196  93.4% elapsed=26145s ETA=1857s] duoprism_16_18 zero_hits emit=0 snap_fail=0
[17:01:07] [184/196  93.9% elapsed=26522s ETA=1730s] duoprism_17_17 zero_hits emit=0 snap_fail=0
[17:02:20] [185/196  94.4% elapsed=26595s ETA=1581s] duoprism_15_20 zero_hits emit=0 snap_fail=0
[17:04:01] [186/196  94.9% elapsed=26696s ETA=1435s] duoprism_16_19 zero_hits emit=0 snap_fail=0
[17:04:54] [187/196  95.4% elapsed=26749s ETA=1287s] duoprism_17_18 zero_hits emit=0 snap_fail=0
[17:06:04] [188/196  95.9% elapsed=26818s ETA=1141s] duoprism_16_20 zero_hits emit=0 snap_fail=0
[17:11:08] [189/196  96.4% elapsed=27122s ETA=1005s] duoprism_17_19 zero_hits emit=0 snap_fail=0
[17:11:30] [190/196  96.9% elapsed=27145s ETA=857s] duoprism_18_18 zero_hits emit=0 snap_fail=0
[17:12:44] [191/196  97.4% elapsed=27219s ETA=713s] duoprism_17_20 zero_hits emit=0 snap_fail=0
[17:18:00] [192/196  98.0% elapsed=27535s ETA=574s] duoprism_18_20 zero_hits emit=0 snap_fail=0
[17:18:14] [193/196  98.5% elapsed=27549s ETA=428s] duoprism_18_19 zero_hits emit=0 snap_fail=0
[17:21:01] [194/196  99.0% elapsed=27715s ETA=286s] duoprism_20_20 zero_hits emit=0 snap_fail=0
[17:21:20] [195/196  99.5% elapsed=27734s ETA=142s] duoprism_19_20 zero_hits emit=0 snap_fail=0
[17:21:44] [196/196 100.0% elapsed=27758s ETA=0s] duoprism_19_19 zero_hits emit=0 snap_fail=0
=== done (27758.2s) ===
